id,answer_correctness_0_5,completeness_0_5,grounding_faithfulness_0_5,relevance_clarity_0_5
0,3,3,5,5
1,5,5,5,5
2,5,5,5,5
3,5,5,5,5
4,0,0,5,5
5,0,0,5,5
6,0,0,5,5
7,5,5,5,5
8,5,5,1,5
9,5,5,5,5
10,3,3,5,5
11,0,0,5,5
12,0,0,1,5
13,0,0,1,5
14,3,3,5,5
15,5,5,5,5
16,5,5,5,5
17,5,5,5,5
18,5,5,5,5
19,5,5,1,5
20,0,0,1,5
21,5,5,5,5
22,5,5,5,5
23,5,5,5,5
24,5,5,1,5
25,5,5,5,5
26,5,5,5,5
27,5,5,5,5
28,5,5,5,5
29,5,5,5,5
30,5,5,5,5
31,5,5,5,5
32,5,5,5,5
33,5,5,5,5
34,5,5,5,5
35,5,5,5,5
36,5,5,5,5
37,0,0,5,5
38,0,0,5,5
39,5,5,1,5
40,0,0,5,5
41,0,0,5,5
42,5,5,5,5
43,5,5,5,5
44,5,5,1,5
45,5,5,5,5
46,5,5,5,5
47,5,5,5,5
48,5,5,5,5
49,5,5,5,5
50,5,5,5,5
51,5,5,5,5
52,3,3,5,5
53,5,5,5,5
54,0,0,5,5
55,5,5,5,5
56,5,5,5,5
57,3,3,5,5
58,5,5,5,5
59,5,5,5,5
60,5,5,5,5
61,5,5,5,5
62,5,5,5,5
63,5,5,5,5
64,5,5,1,5
65,5,5,5,5
66,5,5,5,5
67,5,5,5,5
68,5,5,5,5
69,5,5,1,5
70,5,5,5,5
71,5,5,5,5
72,5,5,5,5
73,5,5,5,5
74,3,3,5,5
75,5,5,5,5
76,5,5,5,5
77,0,0,1,5
78,0,0,5,5
79,5,5,5,5
80,3,3,5,5
81,5,5,5,5
82,5,5,5,5
83,0,0,5,5
84,5,5,1,5
85,5,5,5,5
86,5,5,5,5
87,5,5,5,5
88,5,5,5,5
89,5,5,5,5
90,0,0,1,5
91,5,5,5,5
92,5,5,5,5
93,0,0,5,5
94,5,5,5,5
95,5,5,5,5
96,5,5,1,5
97,5,5,5,5
98,5,5,5,5
99,5,5,5,5
100,5,5,5,5
101,3,3,5,5
102,5,5,5,5
103,3,3,5,5
104,3,3,5,5
105,5,5,5,5
106,5,5,5,5
107,5,5,5,5
108,5,5,5,5
109,5,5,5,5
110,5,5,5,5
111,5,5,5,5
112,5,5,5,5
113,5,5,5,5
114,3,3,5,5
115,5,5,5,5
116,3,3,5,5
117,0,0,5,5
118,5,5,5,5
119,5,5,5,5
120,5,5,5,5
121,0,0,5,5
122,5,5,5,5
123,5,5,5,5
124,5,5,5,5
125,5,5,5,5
126,5,5,5,5
127,5,5,5,5
128,5,5,5,5
129,5,5,5,5
130,5,5,1,5
131,5,5,5,5
132,5,5,5,5
133,5,5,5,5
134,5,5,5,5
135,5,5,5,5
136,5,5,1,5
137,5,5,1,5
138,0,0,1,5
139,0,0,1,5
140,5,5,5,5
141,5,5,1,5
142,5,5,5,5
143,5,5,1,5
144,5,5,5,5
145,5,5,5,5
146,5,5,1,5
147,5,5,1,5
148,5,5,5,5
149,5,5,5,5
150,5,5,5,5
151,5,5,5,5
152,5,5,1,5
153,5,5,5,5
154,3,3,1,5
155,5,5,5,5
156,5,5,5,5
157,5,5,5,5
158,5,5,5,5
159,5,5,5,5
160,5,5,5,5
161,5,5,5,5
162,5,5,5,5
163,5,5,5,5
164,5,5,5,5
165,5,5,5,5
166,5,5,5,5
167,5,5,5,5
168,5,5,5,5
169,5,5,5,5
170,5,5,5,5
171,5,5,5,5
172,0,0,1,5
173,5,5,5,5
174,5,5,5,5
175,3,3,1,5
176,3,3,5,5
177,5,5,5,5
178,5,5,5,5
158,5,5,5,5
180,5,5,5,5
181,3,3,5,5
182,5,5,5,5
183,5,5,5,5
184,5,5,5,5
185,0,0,1,5
186,5,5,5,5
187,5,5,5,5
188,0,0,1,5
189,5,5,5,5
190,5,5,5,5
191,5,5,5,5
192,5,5,5,5
193,5,5,5,5
194,0,0,5,5
195,0,0,5,5
196,5,5,5,5
197,5,5,5,5
198,5,5,5,5
199,5,5,5,5
200,5,5,1,5
201,0,0,5,5
202,0,0,5,5
203,5,5,5,5
204,5,5,5,5
205,3,3,1,5
206,5,5,5,5
207,0,0,1,5
208,5,5,5,5
209,5,5,1,5
210,5,5,5,5
211,5,5,5,5
212,5,5,1,5
213,3,3,5,5
214,5,5,5,5
215,0,0,5,5
216,3,3,5,5
217,5,5,1,5
218,3,3,1,5
219,5,5,1,5
220,0,0,1,5
221,0,0,1,5
222,0,0,1,5
223,5,5,5,5
224,5,5,5,5
225,5,5,5,5
226,3,3,5,5
227,5,5,5,5
228,3,3,5,5
229,0,0,5,5
230,5,5,5,5
231,5,5,1,5
232,5,5,5,5
233,5,5,5,5
234,0,0,5,5
235,0,0,5,5
236,0,0,1,5
237,5,5,5,5
238,5,5,5,5
239,5,5,5,5
240,5,5,1,5
241,3,3,5,5
242,5,5,5,5
243,0,0,5,5
244,5,5,5,5
245,5,5,5,5
246,5,5,5,5
247,5,5,5,5
248,5,5,1,5
249,3,3,1,5
250,3,3,5,5
251,3,3,5,5
252,3,3,5,5
253,0,0,1,5
254,3,3,5,5
255,5,5,5,5
256,5,5,5,5
257,3,3,5,5
258,5,5,5,5
259,5,5,5,5
260,5,5,5,5
261,5,5,5,5
262,5,5,5,5
263,0,0,5,5
264,5,5,5,5
265,5,5,5,5
266,5,5,5,5
267,5,5,5,5
268,5,5,5,5
269,5,5,5,5
270,5,5,5,5
271,5,5,5,5
272,5,5,5,5
273,5,5,5,5
274,5,5,5,5
275,0,0,1,5
276,5,5,5,5
277,3,3,5,5
278,5,5,5,5
279,5,5,5,5
280,5,5,5,5
281,5,5,5,5
282,5,5,5,5
283,5,5,5,5
284,5,5,5,5
285,5,5,5,5
286,5,5,5,5
287,5,5,5,5
288,5,5,5,5
289,5,5,5,5
290,3,3,5,5
291,3,3,1,5
292,5,5,1,5
293,5,5,5,5
294,5,5,5,5
295,5,5,5,5
296,5,5,5,5
297,5,5,5,5
298,5,5,5,5
299,5,5,5,5
300,3,3,5,5
301,5,5,5,5
302,0,0,1,5
303,5,5,5,5
304,5,5,5,5
305,5,5,5,5
306,5,5,1,5
307,5,5,5,5
308,5,5,5,5
309,5,5,5,5
310,5,5,5,5
311,5,5,1,5
312,5,5,5,5
313,0,0,1,5
314,5,5,5,5
315,5,5,5,5
316,5,5,5,5
317,5,5,5,5
318,5,5,1,5
319,5,5,5,5
320,5,5,5,5
321,5,5,5,5
322,5,5,5,5
323,5,5,5,5
324,5,5,5,5
325,5,5,5,5
326,5,5,5,5
327,5,5,5,5
328,5,5,5,5
329,5,5,5,5
330,5,5,5,5
331,5,5,5,5
332,3,3,5,5
333,0,0,5,5
334,5,5,5,5
335,5,5,5,5
336,0,0,5,5
337,5,5,5,5
338,0,0,1,5
339,3,3,5,5
340,3,3,5,5
341,0,0,1,5
342,3,3,5,5
343,5,5,1,5
344,5,5,5,5
345,5,5,5,5
346,5,5,1,5
347,0,0,1,5
348,5,5,5,5
349,3,3,5,5
350,5,5,5,5
351,5,5,5,5
352,5,5,1,5
353,5,5,5,5
354,5,5,5,5
355,5,5,5,5
356,5,5,5,5
357,5,5,5,5
358,0,0,5,5
359,5,5,5,5
360,5,5,5,5
361,0,0,5,5
362,0,0,1,5
363,5,5,5,5
364,5,5,5,5
365,5,5,5,5
366,5,5,5,5
367,5,5,5,5
368,5,5,5,5
369,5,5,5,5
370,5,5,5,5
371,5,5,5,5
372,5,5,5,5
373,5,5,5,5
374,0,0,5,5
375,0,0,5,5
376,5,5,5,5
377,5,5,5,5
378,0,0,1,5
379,5,5,5,5
380,5,5,5,5
381,0,0,5,5
382,5,5,5,5
383,5,5,5,5
384,5,5,5,5
385,5,5,5,5
386,5,5,5,5
387,5,5,5,5
388,5,5,1,5
389,5,5,5,5
390,5,5,1,5
391,5,5,1,5
392,5,5,1,5
393,5,5,5,5
394,5,5,5,5
395,5,5,5,5
396,5,5,1,5
397,5,5,1,5
398,0,0,1,5
399,5,5,5,5
400,5,5,5,5
401,5,5,5,5
402,5,5,5,5
403,5,5,5,5
404,5,5,5,5
405,5,5,5,5
406,0,0,5,5
407,0,0,5,5
408,5,5,5,5
409,5,5,5,5
410,0,0,5,5
411,0,0,5,5
412,5,5,5,5
413,0,0,5,5
414,0,0,5,5
415,0,0,5,5
416,5,5,5,5
417,0,0,5,5
418,0,0,5,5
419,5,5,5,5
420,5,5,5,5
421,0,0,5,5
422,5,5,5,5
423,0,0,5,5
424,0,0,5,5
425,0,0,5,5
426,0,0,5,5
427,0,0,5,5
428,5,5,5,5
429,0,0,5,5
430,0,0,5,5
431,5,5,5,5
432,0,0,5,5
433,5,5,5,5
434,5,5,5,5
435,0,0,5,5
436,5,5,5,5
437,0,0,5,5
438,0,0,5,5
439,5,5,5,5
440,3,3,5,5
441,4,4,5,5
442,0,0,1,5
443,5,5,5,5
444,3,3,5,5
445,3,3,5,5
446,5,5,5,5
447,5,5,5,5
448,5,5,5,5
449,5,5,5,5
450,0,0,1,5
451,3,3,5,5
452,0,0,1,5
453,3,3,5,5
454,3,3,5,5
455,3,3,5,5
456,5,5,5,5
457,5,5,5,5
458,0,0,1,5
459,3,3,1,5
460,5,5,5,5
461,5,5,5,5
462,0,0,5,5
463,5,5,5,5
464,0,0,5,5
465,5,5,5,5
466,5,5,5,5
467,0,0,1,5
468,0,0,5,5
469,5,5,5,5
470,5,5,5,5
471,5,5,5,5
472,0,0,5,5
473,5,5,5,5
474,0,0,5,5
475,0,0,5,5
476,0,0,5,5
477,0,0,5,5
478,0,0,5,5
479,0,0,5,5
480,5,5,5,5
481,5,5,5,5
482,5,5,5,5
483,3,3,5,5
484,5,5,5,5
485,5,5,5,5
486,0,0,5,5
487,3,3,5,5
488,0,0,1,5
489,0,0,5,5
490,5,5,5,5
