Chunk Number,Token 1,Token 2,Token 3,Token 4,Token 5,Token 6,Token 7,Token 8,Token 9,Token 10,Token 11,Token 12,Token 13,Token 14,Token 15,Token 16,Token 17,Token 18,Token 19,Token 20,Token 21,Token 22,Token 23,Token 24,Token 25,Token 26,Token 27,Token 28,Token 29,Token 30,Token 31,Token 32,Token 33,Token 34,Token 35,Token 36,Token 37,Token 38,Token 39,Token 40,Token 41,Token 42,Token 43,Token 44,Token 45,Token 46,Token 47,Token 48,Token 49,Token 50,Token 51,Token 52,Token 53,Token 54,Token 55,Token 56,Token 57,Token 58,Token 59,Token 60,Token 61,Token 62,Token 63,Token 64,Token 65,Token 66,Token 67,Token 68,Token 69,Token 70,Token 71,Token 72,Token 73,Token 74,Token 75,Token 76,Token 77,Token 78,Token 79,Token 80,Token 81,Token 82,Token 83,Token 84,Token 85,Token 86,Token 87,Token 88,Token 89,Token 90,Token 91,Token 92,Token 93,Token 94,Token 95,Token 96,Token 97,Token 98,Token 99,Token 100,Token 101,Token 102,Token 103,Token 104,Token 105,Token 106,Token 107,Token 108,Token 109,Token 110,Token 111,Token 112,Token 113,Token 114,Token 115,Token 116,Token 117,Token 118,Token 119,Token 120,Token 121,Token 122,Token 123,Token 124,Token 125,Token 126,Token 127,Token 128,Token 129,Token 130,Token 131,Token 132,Token 133,Token 134,Token 135,Token 136,Token 137,Token 138,Token 139,Token 140,Token 141,Token 142,Token 143,Token 144,Token 145,Token 146,Token 147,Token 148,Token 149,Token 150,Token 151,Token 152,Token 153,Token 154,Token 155,Token 156,Token 157,Token 158,Token 159,Token 160,Token 161,Token 162,Token 163,Token 164,Token 165,Token 166,Token 167,Token 168,Token 169,Token 170,Token 171,Token 172,Token 173,Token 174,Token 175,Token 176,Token 177,Token 178,Token 179,Token 180,Token 181,Token 182,Token 183,Token 184,Token 185,Token 186,Token 187,Token 188,Token 189,Token 190,Token 191,Token 192,Token 193,Token 194,Token 195,Token 196,Token 197,Token 198,Token 199,Token 200,Token 201,Token 202,Token 203,Token 204,Token 205,Token 206,Token 207,Token 208,Token 209,Token 210,Token 211,Token 212,Token 213,Token 214,Token 215,Token 216,Token 217,Token 218,Token 219,Token 220,Token 221,Token 222,Token 223,Token 224,Token 225,Token 226,Token 227,Token 228,Token 229,Token 230,Token 231,Token 232,Token 233,Token 234,Token 235,Token 236,Token 237,Token 238,Token 239,Token 240,Token 241,Token 242,Token 243,Token 244,Token 245,Token 246,Token 247,Token 248,Token 249,Token 250,Token 251,Token 252,Token 253,Token 254,Token 255,Token 256
Chunk 1,A,general,account,of,Polychaete,worms,Polychaetes,are,soft,bodied,marine,Annelids,with,bristle,like,parapodia,living,in,tubes,and,burrows,in,the,sand,floating,freely,on,the,surface,or,crawling,on,the,surface,of,the,sediment,Fauchald,Rouse,1997,Hutchings,2000,Polychaetes,can,be,found,from,the,intertidal,regions,to,the,deep,hydrothermal,vents,and,are,exhibited,in,all,marine,habitats,Hutchings,2000,Hutchings,Kupriyanova,2015,Polychaetes,are,the,most,diverse,group,among,softbottom,macrobenthos,with,a,total,of,11,456,species,belonging,to,1,417,genera,recorded,to,date,Pamungkas,et,al,2019,The,interaction,between,polychaetes,and,sediment,is,important,for,the,ecosystem,functioning,in,general,Donadi,et,al,2015,Kristensen,et,al,2012,Polychaete,associated,with,other,macrobenthos,forms,a,complex,food,web,in,the,benthic,habitat,Snelgrove,1998,Meiobenthos,such,as,copepods,other,small,crustaceans,nematodes,and,other,groups,are,known,to,have,fed,on,juveniles,of,macrobenthos,and,macrobenthos,are,known,to,have,fed,on,meiobenthos,Warwick,et,al,1990,The,wide,range,of,adaptation,of,polychaetes,to,environmental,changes,makes,them,suitable,for,assessing,benthic,community,health,Díaz,Castañeda,Reish,2009,Giménez,et,al,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 2,Polychaetes,plays,a,fundamental,role,in,the,functioning,of,the,marine,ecosystem,by,providing,several,ecological,services,such,as,bioturbation,remineralization,oxygenation,bioengineering,food,for,other,organisms,ecological,indicator,etc,The,diversity,and,distribution,of,macrobenthos,depend,upon,several,factors,such,as,environmental,variables,seasonal,changes,hydrodynamic,pressure,and,anthropogenic,activities,General,Characteristics,of,the,family,Glyceridae,Grube,1850,The,Glyceridae,family,commonly,referred,to,referred,to,as,beak,thrower,worms,or,bloodworms,comprises,elongated,tubular,polychaetes,that,can,reach,up,to,one,meter,in,length,These,benthic,organisms,are,present,in,a,vast,array,of,environments,ranging,from,intertidal,to,abyssal,depths,Their,body,is,tapered,at,both,ends,and,consists,of,numerous,bi,or,triannulate,segments,Distinguishing,Glycerids,from,other,species,is,made,possible,by,their,long,muscular,and,eversible,proboscis,and,their,pointed,annulated,prostomium,The,anterior,annulus,of,the,prostomium,has,four,appendages,while,the,posterior,annulus,has,one,pair,of,nuchal,organs,Glycerids,do,not,possess,eyes,They,are,easily,recognizable,by,their,distinct,reddish,coloration,and,their,four,dark,jaws,with,ailerons,at,the,end,of,their,proboscis,These,characteristics,set,them,apart,from,goniadids,which,are,closely,related,but,differ,in,morphological,characteristics,such,as,boasting,iridescent,integuments,and,ring,of,macro,and,micrognaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 3,The,family,has,4,genera,namely,Glycera,Lamarck,Glycerella,Arwidsson,Hemipodia,Kinberg,and,Proboscidea,Lesueur,in,Blainville,The,original,description,can,be,found,in,the,following,citation,Grube,Adolf,Eduard,1850,Die,Familien,der,Anneliden,Archiv,für,Naturgeschichte,Berlin,16,1,249,364,available,online,at,https,biodiversitylibrary,org,page,6958350,page,s,307,note,As,heading,VII,Familie,Glycerea,Gr,As,of,2023,the,only,genus,of,Glyceridae,family,recorded,in,India,is,Glycera,Lakra,et,al,2018,General,Characteristics,of,the,Genus,Glycera,Savigny,1818,The,following,are,the,identifying,features,of,the,genus,Glycera,The,body,of,the,genus,Glycera,is,characterized,by,numerous,elongated,segments,that,taper,at,both,ends,These,segments,are,bi,or,triannulate,The,prostomium,is,conical,in,shape,mostly,pointed,and,distinctly,annulated,The,anterior,most,annulus,has,four,appendages,with,the,anterior,pair,situated,termino,aterally,and,the,posterior,pair,more,dorsolateral,The,posterior,most,annulus,has,one,pair,of,nuchal,organs,but,no,eyes,are,present,The,proboscis,is,long,cylindrical,club,shaped,muscular,and,densely,covered,with,numerous,papillae,These,papillae,bear,specialized,structures,on,their,posterior,sides,The,tip,of,the,everted,proboscis,has,four,dark,hook,like,curved,jaws,each,with,a,rod,like,more,or,less,triangular,or,deeply,incised,supportive,aileron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 4,The,first,two,sets,of,parapodia,are,typically,uniramous,consisting,of,exclusively,neuropodia,ventral,cirri,and,compound,chaetae,Subsequent,parapodia,may,be,uni,or,biramous,and,feature,both,dorsal,and,ventral,cirri,The,largest,parapodia,are,generally,found,in,the,mid,body,region,In,biramous,parapodia,notopodia,and,neuropodia,are,not,clearly,separated,from,one,another,Each,parapodium,has,two,prechaetal,and,one,or,two,postchaetal,lobes,Branchiae,which,may,range,in,shape,from,blister,like,to,simple,digitiform,or,branched,may,be,present,or,absent,and,are,retractable,in,some,species,They,are,situated,on,different,parts,of,the,parapodia,Noto,and,neuropodia,each,have,a,single,acicula,with,notopodia,featuring,simple,capillaries,and,neuropodia,mostly,having,spinigerous,compound,chaetae,The,pygidium,has,a,pair,of,slender,anal,cirri,A,total,of,76,valid,species,are,present,worldwide,of,which,21,species,have,been,recorded,in,India,of,which,19,have,been,verified,by,WoRMS,and,literatures,The,list,of,Glycera,species,recorded,in,India,are,as,follows,Glycera,alba,Glycera,americana,Glycera,Africana,Glycera,embranchiata,Glycera,benguellana,Glycera,brevicirris,Glycera,cinnamomea,Glycera,fallax,Glycera,lancadivae,Glycera,lapidum,Glycera,longipinnis,Glycera,natalensis,Glycera,nicobarica,Glycera,oxycephala,Glycera,papillosa,Glycera,posterobranchia,Glycera,subaenea,Glycera,sphyrabrancha,Glycera,tesselata,Glycera,tridactyla,and,Glycera,unicornis,From,the,above,species,list,Glycera,embranchiata,is,placed,as,nomen,nudum,in,WoRMS,and,the,species,Glycera,sphyrabrancha,is,recorded,from,India,but,doesn,t,have,a,distribution,record,in,WoRMS,,,,,,,,,,,,
Chunk 5,From,the,above,species,list,Glycera,embranchiata,is,placed,as,nomen,nudum,in,WoRMS,and,the,species,Glycera,sphyrabrancha,is,recorded,from,India,but,doesn,t,have,a,distribution,record,in,WoRMS,The,Detail,Definitions,of,each,characteristic,of,Genus,Glycera,through,which,a,species,of,the,genus,is,being,identified,are,given,below,Body,rings,All,annelids,have,a,segmented,body,where,the,ring,here,refers,to,the,segments,of,the,worm,all,are,round,ring,like,throughout,the,body,In,Glyceridae,the,body,rings,are,sometimes,bi,annulated,tri,annulated,and,sometimes,numerous,indistinct,rings,are,present,Proboscidal,papillae,The,proboscis,is,a,lengthy,extensible,and,often,muscular,feeding,apparatus,that,is,utilized,to,seize,and,immobilize,prey,The,surface,of,the,proboscis,is,adorned,with,a,specialized,structure,known,as,Proboscidal,Papillae,These,papillae,are,essentially,small,raised,projections,that,can,serve,various,purposes,such,as,tactile,sensing,or,aiding,in,prey,capture,There,are,primarily,five,types,of,Proboscidal,papillae,that,have,been,documented,from,various,species,of,Glyceridae,Different,species,possess,different,types,of,Proboscidal,papillae,or,different,combinations,of,them,The,Proboscidal,papillae,are,situated,at,the,anterior,end,of,the,body,and,are,retractile,therefore,they,can,be,seen,outside,of,the,body,frequently,or,else,can,be,removed,by,gently,pressing,the,anterior,body,part,The,Proboscidal,papillae,can,be,of,the,following,types,Conical,Papillae,Digitiform,Papillae,Globular,or,Spherical,Papillae,Pedunculate,Papillae,and,Mucous,Papillae,,,,,,,,,,,
Chunk 6,The,Conical,Papillae,are,cone,shaped,and,may,be,distributed,in,various,patterns,along,the,proboscis,Sometimes,they,may,have,transverse,ridges,The,Digitiform,Papillae,are,finger,like,in,appearance,The,Globular,or,Spherical,Papillae,are,as,the,name,implies,round,or,ball,shaped,papillae,The,Pedunculate,Papillae,have,a,stalked,appearance,resembling,a,small,mushroom,with,a,stalk,and,nail,Sometimes,the,nail,has,ridges,of,different,types,such,as,longitudinal,and,transverse,The,Mucous,Papillae,secrete,mucus,which,can,aid,in,prey,capture,or,manipulation,To,accurately,identify,species,belonging,to,the,Glyceridae,family,it,is,necessary,to,conduct,a,thorough,examination,and,documentation,of,the,proboscidal,papillae,s,specific,arrangement,number,size,and,type,This,meticulous,process,is,crucial,for,ensuring,the,precision,and,validity,of,any,conclusions,drawn,from,the,identification,process,Therefore,it,is,imperative,to,approach,this,task,with,the,utmost,attention,to,detail,and,expertise,Aileron,Within,the,Glyceridae,family,of,polychaete,annelids,ailerons,are,flattened,lateral,extensions,situated,on,the,posterior,segments,of,these,worms,They,serve,various,functions,such,as,assisting,in,feeding,prey,capturing,burrowing,and,movement,Ailerons,are,an,important,diagnostic,feature,for,species,identification,within,the,Glyceridae,family,and,can,be,categorized,into,various,forms,based,on,their,morphology,and,placement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 7,These,forms,include,simple,ailerons,branched,or,digitate,ailerons,fused,ailerons,reduced,ailerons,and,varying,margins,Taxonomists,use,a,combination,of,these,morphological,characteristics,to,accurately,identify,species,within,the,Glyceridae,family,as,relying,on,a,single,characteristic,can,lead,to,misidentification,Prechaetal,lobe,Polychaete,annelids,have,paired,lateral,outgrowths,on,each,body,segment,called,parapodia,which,can,bear,various,structures,including,bristles,known,as,chaetae,The,prechaetal,lobe,also,known,as,the,acicular,lobe,is,a,structure,that,is,often,present,on,the,parapodia,It,is,located,in,front,of,the,chaetal,row,and,can,take,on,different,shapes,and,sizes,making,it,an,important,morphological,feature,in,identifying,different,species,within,the,Glyceridae,family,There,are,five,types,of,prechaetal,lobes,in,Glyceridae,simple,or,rounded,elongated,or,finger,like,branched,or,bifurcated,serrated,or,fringed,and,reduced,Taxonomists,studying,these,worms,often,use,observations,of,prechaetal,lobes,along,with,other,morphological,features,to,accurately,identify,species,Postchaetal,lobe,The,postchaetal,lobe,is,a,part,of,the,parapodia,which,are,the,fleshy,outgrowths,located,on,each,body,segment,of,polychaete,annelids,These,parapodia,carry,various,structures,including,bristles,known,as,chaetae,The,postchaetal,lobe,is,situated,behind,the,chaetal,row,and,can,be,a,crucial,feature,in,the,taxonomy,of,the,Glyceridae,family,and,many,polychaetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 8,The,postchaetal,lobe,s,shape,size,and,other,characteristics,can,vary,among,species,making,it,a,distinguishing,feature,There,are,six,different,forms,of,the,postchaetal,lobes,including,simple,elongated,branched,lamellate,reduced,and,serrated,The,morphology,of,the,postchaetal,lobe,combined,with,other,anatomical,features,such,as,chaetae,and,ailerons,provides,valuable,information,for,species,identification,within,the,Glyceridae,family,A,holistic,approach,to,taxonomy,considering,multiple,morphological,aspects,is,crucial,for,accurate,identification,Cirrus,Polychaete,annelids,are,characterized,by,the,presence,of,appendages,known,as,cirri,plural,cirrus,These,structures,which,resemble,tentacles,or,filaments,serve,a,variety,of,functions,including,sensory,roles,reproduction,and,respiration,Cirri,are,an,important,taxonomic,feature,that,allows,for,the,differentiation,between,species,or,even,families,of,polychaetes,In,the,Glyceridae,family,cirri,are,often,connected,to,the,parapodia,which,are,the,paired,lateral,fleshy,outgrowths,on,each,body,segment,The,location,of,the,cirri,can,be,either,dorsal,on,the,upper,side,or,ventral,on,the,lower,side,about,the,main,body,axis,The,morphology,presence,and,arrangement,of,cirri,are,critical,features,that,distinguish,one,species,from,another,within,the,Glyceridae,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 9,The,Glyceridae,family,exhibits,various,forms,of,cirri,including,simple,branched,or,bifurcated,foliaceous,papillated,setose,ventral,and,dorsal,types,Simple,cirri,are,unbranched,and,tentacle,like,structures,that,vary,in,size,depending,on,the,species,Branched,or,bifurcated,cirri,split,into,two,or,more,branches,or,filaments,Foliaceous,cirri,have,a,leaf,like,flattened,appearance,while,papillated,cirri,have,a,surface,covered,in,small,raised,structures,called,papillae,Setose,cirri,have,small,bristles,or,setae,on,their,surfaces,Ventral,cirri,are,located,on,the,underside,or,ventral,side,of,the,parapodia,while,dorsal,cirri,are,positioned,on,the,dorsal,side,of,the,parapodia,and,can,sometimes,be,more,elongated,or,prominent,compared,to,the,ventral,cirri,The,morphology,number,and,arrangement,of,cirri,can,be,specific,to,a,particular,species,within,the,Glyceridae,family,Taxonomists,often,rely,on,a,combination,of,cirral,features,and,other,morphological,characteristics,to,accurately,identify,species,It,is,essential,to,observe,cirri,within,the,context,of,other,features,for,a,comprehensive,understanding,of,species,differences,as,with,many,taxonomic,traits,In,conclusion,the,examination,of,cirri,is,a,crucial,component,of,the,taxonomic,classification,of,polychaete,annelids,and,requires,careful,observation,and,analysis,by,trained,professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 10,Branchia,In,annelids,such,as,those,found,in,the,Glyceridae,family,branchiae,are,respiratory,structures,that,resemble,gills,and,aid,in,gas,exchange,These,structures,can,vary,in,shape,and,location,even,within,the,same,family,In,the,Glyceridae,family,known,as,bloodworms,branchiae,are,crucial,for,respiration,The,presence,absence,shape,and,position,of,branchiae,are,important,characteristics,used,to,distinguish,between,species,Several,types,of,branchiae,may,be,observed,in,the,Glyceridae,family,including,simple,branched,cirriform,lamellate,bushy,or,absent,branchiae,The,specific,location,number,and,size,of,the,branchiae,can,provide,valuable,information,for,identifying,species,within,the,Glyceridae,family,It,is,important,to,take,a,comprehensive,approach,when,studying,or,identifying,these,organisms,considering,both,branchial,features,and,other,anatomical,structures,for,accurate,classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 11,The,following,contains,are,the,taxonomic,characteristics,of,Species,belonging,to,genus,Glycera,Species,Name,Glycera,alba,O,F,Müller,1776,Type,Locality,Norway,Body,rings,in,the,mid,body,segments,are,bi,annulated,Prostomium,conical,in,shape,with,9,11,rings,Proboscidal,papillae,Three,types,of,papillae,1,The,most,abundant,papillae,terminal,fingernail,structure,with,long,stalk,and,longitudinal,ridges,on,the,nail,2,digitiform,shape,papillae,with,longitudinal,ridges,3,oval,shape,papillae,without,any,ridges,Aileron,pointed,triangular,base,Parapodia,Parapodia,consists,of,two,prechaetal,lobes,of,the,same,length,and,two,postchaetal,lobes,Prechaetal,lobe,Prechaetal,lobe,short,notopodial,lobes,are,triangular,in,shape,and,longer,than,the,rounded,neuropodial,lobes,Postchaetal,lobe,two,post,chaetal,lobes,present,the,postchaetal,lobes,are,short,notopodial,lobes,are,triangular,in,shape,and,longer,than,the,rounded,neuropodial,lobes,Dorsal,cirrus,starts,from,3rd,segment,conical,to,oval,shape,placed,close,to,parapodial,base,ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,but,in,the,posterior,end,it,transforms,to,digitiform,shape,Branchia,Present,and,is,non,retractile,digitiform,branchia,Position,of,Branchia,present,between,the,18,23rd,segment,termino,dorsally,on,the,parapodia,to,the,posterior,end,Chaete,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Andaman,Sea,Black,Sea,Gulf,of,Aden,Gulf,of,Oman,Arabian,Gulf,North,Sea,Mediterranean,Sea,Madagascar,North,Sea,NW,Pacific,coasts,Red,Sea,south,China,Sea,and,in,India,Andhra,Pradesh,Gujarat,Goa,Karnataka,Kerala,Maharashtra,Odisha,West,Bengal,Tamil,Nadu
Chunk 12,Species,Name,Glycera,africana,Arwidsson,1899,Type,Locality,Not,Documented,Body,rings,mid,body,segments,are,bi,annulated,Prostomium,Elongated,conical,in,shape,with,19,24,rings,Proboscidal,papillae,Three,types,of,parapodia,1,most,abundant,papillae,terminal,fingernail,structure,with,medium,length,stalk,and,longitudinal,ridges,on,the,nail,2,rest,of,papillae,are,digitiform,shape,with,longitudinal,ridges,3,oval,shape,papillae,without,any,ridges,Aileron,pointed,triangular,base,Parapodia,First,two,setigers,are,uniramous,followed,by,biramous,parapodia,Prechaetal,lobe,two,prechaetal,lobes,of,the,same,length,and,two,postchaetal,lobes,the,two,prechaetal,lobe,observed,to,be,triangular,shape,with,abroad,base,in,the,anterior,and,mid,body,region,to,digitiform,in,the,posterior,segments,Postchaetal,lobe,short,notopodial,lobes,are,triangular,in,shape,and,longer,than,the,rounded,neuropodial,lobes,Dorsal,cirrus,starts,from,3rd,segment,conical,to,oval,shape,placed,close,to,parapodial,base,ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,but,in,the,posterior,end,it,transforms,to,digitiform,shape,Branchia,Present,Non,retractile,digitiform,branchia,Position,of,Branchia,between,16,22nd,segment,termino,dorsally,on,the,parapodia,to,the,posterior,end,Chaete,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Bay,of,Bengal,Gulf,of,Aden,Suez,Canal,West,and,east,coasts,of,Africa,in,India,Andaman,Nicobar,Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 13,Species,Name,Glycera,americana,Leidy,1855,Type,Locality,Point,Judith,Atlantic,City,Atlantic,Ocean,Body,rings,Mid,body,segments,biannulate,anterior,annulus,about,as,long,as,posterior,one,or,slightly,longer,Prostomium,conical,in,shape,with,10,12,rings,Proboscidal,papillae,two,types,of,papillae,1,numerous,conical,papillae,with,2,U,shaped,ridges,2,isolated,broader,oval,to,globular,papillae,without,ridges,Aileron,with,a,triangular,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,Two,slender,triangular,to,digitiform,lobes,becoming,slightly,slimmer,in,the,posterior,parapodia,in,the,last,parapodia,notopodial,lobe,is,shorter,than,neuropodial,one,Postchaetal,lobe,Two,shorter,postchaetal,lobes,anteriorly,both,lobes,rounded,rest,both,lobes,are,elongated,and,slender,triangular,in,posterior,most,parapodia,both,lobes,generally,shorter,and,rounded,Dorsal,cirrus,from,3rd,parapodium,conical,to,oval,inserted,on,body,wall,slightly,above,parapodial,base,ventral,cirrus,slender,triangular,to,digitiform,slightly,shorter,than,post,chaetal,lobes,in,posterior,slender,and,elongated,in,last,about,same,as,neuropodial,prechaetal,lobe,Branchia,retractile,bush,like,when,completely,developed,and,everted,present,Position,of,Branchia,starting,from,about,7th,to,22nd,parapodium,to,near,posterior,end,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Arabian,Sea,Atlantic,coasts,of,North,and,South,America,Brazil,Bangladesh,the,Caribbean,Sea,Japan,British,Columbia,Gulf,of,Mexico,Gulf,of,Saint,Lawrence,Pacific,coasts,of,South,America,New,Zealand,North,Atlantic,Ocean,Red,Sea,and,in,India,Arabian,Sea,,,,,,,,,
Chunk 14,Species,Name,Glycera,benguellana,Augener,1931,Type,Locality,Norwegian,EEZ,Body,rings,numerous,indistinct,rings,Prostomium,long,with,numerous,indistinct,rings,Proboscidal,papillae,Two,types,of,papillae,1,few,broadly,conical,papillae,and,2,numerous,digitiform,ones,with,10,16,rings,Aileron,blade,like,the,shorter,limb,being,a,mere,expansion,at,the,base,of,the,other,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,two,triangular,prechaetal,lobes,with,superior,one,is,slightly,shorter,in,the,middle,of,the,body,and,in,posterior,segments,Postchaetal,lobe,low,and,rounded,Dorsal,cirrus,relatively,large,and,arises,in,the,junction,of,the,parapodium,with,the,body,ventral,cirrus,no,Branchia,Absent,Position,of,Branchia,No,branchia,present,Chaeate,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Africa,in,India,Arabian,Sea,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
