Chunk Number,Token 1,Token 2,Token 3,Token 4,Token 5,Token 6,Token 7,Token 8,Token 9,Token 10,Token 11,Token 12,Token 13,Token 14,Token 15,Token 16,Token 17,Token 18,Token 19,Token 20,Token 21,Token 22,Token 23,Token 24,Token 25,Token 26,Token 27,Token 28,Token 29,Token 30,Token 31,Token 32,Token 33,Token 34,Token 35,Token 36,Token 37,Token 38,Token 39,Token 40,Token 41,Token 42,Token 43,Token 44,Token 45,Token 46,Token 47,Token 48,Token 49,Token 50,Token 51,Token 52,Token 53,Token 54,Token 55,Token 56,Token 57,Token 58,Token 59,Token 60,Token 61,Token 62,Token 63,Token 64,Token 65,Token 66,Token 67,Token 68,Token 69,Token 70,Token 71,Token 72,Token 73,Token 74,Token 75,Token 76,Token 77,Token 78,Token 79,Token 80,Token 81,Token 82,Token 83,Token 84,Token 85,Token 86,Token 87,Token 88,Token 89,Token 90,Token 91,Token 92,Token 93,Token 94,Token 95,Token 96,Token 97,Token 98,Token 99,Token 100,Token 101,Token 102,Token 103,Token 104,Token 105,Token 106,Token 107,Token 108,Token 109,Token 110,Token 111,Token 112,Token 113,Token 114,Token 115,Token 116,Token 117,Token 118,Token 119,Token 120,Token 121,Token 122,Token 123,Token 124,Token 125,Token 126,Token 127,Token 128,Token 129,Token 130,Token 131,Token 132,Token 133,Token 134,Token 135,Token 136,Token 137,Token 138,Token 139,Token 140,Token 141,Token 142,Token 143,Token 144,Token 145,Token 146,Token 147,Token 148,Token 149,Token 150,Token 151,Token 152,Token 153,Token 154,Token 155,Token 156,Token 157,Token 158,Token 159,Token 160,Token 161,Token 162,Token 163,Token 164,Token 165,Token 166,Token 167,Token 168,Token 169,Token 170,Token 171,Token 172,Token 173,Token 174,Token 175,Token 176,Token 177,Token 178,Token 179,Token 180,Token 181,Token 182,Token 183,Token 184,Token 185,Token 186,Token 187,Token 188,Token 189,Token 190,Token 191,Token 192,Token 193,Token 194,Token 195,Token 196,Token 197,Token 198,Token 199,Token 200,Token 201,Token 202,Token 203,Token 204,Token 205,Token 206,Token 207,Token 208,Token 209,Token 210,Token 211,Token 212,Token 213,Token 214,Token 215,Token 216,Token 217,Token 218,Token 219,Token 220,Token 221,Token 222,Token 223,Token 224,Token 225,Token 226,Token 227,Token 228,Token 229,Token 230,Token 231,Token 232,Token 233,Token 234,Token 235,Token 236,Token 237,Token 238,Token 239,Token 240,Token 241,Token 242,Token 243,Token 244,Token 245,Token 246,Token 247,Token 248,Token 249,Token 250,Token 251,Token 252,Token 253,Token 254,Token 255,Token 256
Chunk 15,Species,Name,Glycera,brevicirris,Grube,1870,Type,Locality,Indian,Ocean,Body,rings,anterior,body,segments,are,bi,annulated,mid,body,segments,are,more,or,less,tri,annulated,Prostomium,Elongated,conical,prostomium,which,is,longer,than,width,with,10,12,rings,Proboscidal,papillae,two,types,1,most,abundant,papillae,are,digitiform,shape,with,8,17,transverse,ridges,2,rest,are,oval,shaped,papillae,with,longitudinal,ridges,Aileron,deeply,incised,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,two,prechaetal,lobes,are,observed,to,be,of,triangular,form,with,a,broad,base,in,the,anterior,and,mid,body,region,to,digitiform,in,the,posterior,segments,Postchaetal,lobe,short,and,rounded,throughout,the,body,segments,dorsal,cirrus,Conical,to,oval,dorsal,cirrus,appears,from,the,3rd,segment,and,placed,slightly,away,from,the,parapodial,basis,ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,but,in,the,posterior,end,it,transforms,to,digitiform,shape,Branchia,Absent,Position,of,Branchia,Absent,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,West,and,East,Atlantic,Gulf,of,Mexico,Caribbean,Sea,Red,Sea,Indian,Ocean,Andaman,Sea,Indo,Pacific,Central,Pacific,Basin,East,Pacific,coast,in,India,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 16,Species,Name,Glycera,cinnamomea,GRUBE,1874,Type,Locality,Sri,Lankan,EEZ,Body,rings,Mid,body,segments,biannulate,Prostomium,Conical,with,9,12,rings,Proboscidal,papillae,three,types,of,papillae,1,numerous,papillae,with,terminal,fingernail,structure,with,long,stalk,and,some,longitudinal,ridges,on,nail,2,less,numerous,digitiform,papillae,with,straight,median,longitudinal,ridge,3,isolated,broader,oval,to,globular,papillae,without,ridges,Aileron,with,pointed,triangular,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,two,slender,triangular,to,digitiform,prechaetal,lobes,of,about,the,same,length,Postchaetal,lobe,Two,shorter,slender,triangular,post,chaetal,lobes,of,about,same,length,Dorsal,cirrus,from,3rd,parapodium,conical,to,oval,inserted,on,body,wall,slightly,above,parapodial,base,ventral,cirrus,slender,triangular,to,digitiform,slightly,shorter,than,postchaetal,lobes,Branchia,non,retractile,with,1,5,digitiform,rami,branchia,present,Position,of,Branchia,from,about,parapodium,21,32,to,near,posterior,end,situated,dorsally,on,parapodial,bases,best,developed,in,mid,body,the,region,about,as,long,as,the,prechaetal,lobes,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Indian,Ocean,Red,Sea,Persian,Gulf,South,China,Sea,Indo,Pacific,in,India,Andhra,Pradesh,Gujarat,Goa,Karnataka,Kerala,Maharashtra,Odisha,West,Bengal,Tamil,Nadu,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 17,Species,Name,Glycera,fallax,QUATREFAGES,1850,Type,Locality,French,EEZ,Body,rings,Mid,body,segments,biannulate,anterior,annulus,about,as,long,as,posterior,one,or,slightly,longer,Prostomium,Conical,with,14,17,rings,Proboscidal,papillae,two,types,of,papillae,1,numerous,conical,papillae,with,3,U,shaped,ridges,2,isolated,broader,oval,to,globular,papillae,without,ridges,Aileron,triangular,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,Two,slender,triangular,to,digitiform,prechaetal,lobes,of,about,same,length,both,lobes,becoming,slightly,slimmer,in,posterior,parapodia,in,last,parapodia,noto,podial,lobe,shorter,than,neuropodial,one,Postchaetal,lobe,Two,shorter,postchaetallobes,Dorsal,cirrus,conical,to,oval,shape,present,from,3rd,segments,onwards,conical,to,oval,inserted,on,body,wall,slightly,above,parapodial,base,Ventral,cirrus,slender,triangular,to,digitiform,about,as,long,as,neuropodial,postchaetal,lobe,in,posterior,parapodia,slender,and,elongated,in,last,parapodia,about,as,long,as,neuropodial,prechaetallobe,situated,medio,ventrally,on,parapodia,Branchia,retractile,blister,like,Position,of,Branchia,starting,from,about,17th,to,25th,parapodium,to,near,posterior,end,situated,mediallyon,anterior,side,of,parapodia,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,North,Sea,Mediterranean,Sea,Andaman,Sea,and,in,India,Kerala,Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 18,Species,Name,Glycera,lancadivae,Schmarda,1861,Type,Locality,Sri,Lankan,EEZ,Body,rings,anterior,regions,are,bi,annulated,mid,body,segments,are,more,or,less,tri,annulated,Prostomium,Conical,with,9,12,rings,Proboscidal,papillae,two,types,of,papillae,1,numerous,digitiform,papillae,with,undulating,ridges,2,few,shorter,and,broader,conical,to,oval,papillae,without,ridges,Aileron,slight,dent,in,pointed,triangular,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,Two,slender,triangular,to,digitiform,prechaetal,lobes,and,neuropodial,lobes,were,twice,longer,than,notopodial,lobes,Postchaetal,lobe,One,short,rounded,postchaetal,lobe,Dorsal,cirrus,oval,to,globular,in,shape,present,from,3rd,segments,onwards,inserted,on,body,wall,above,parapodial,base,Ventral,cirrus,slender,triangular,to,digitiform,in,shape,about,as,long,as,postchaetal,lobe,whereas,in,posterior,parapodia,it,becomes,slender,and,elongated,Branchia,absent,Position,of,Branchia,absent,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Sri,Lanka,Madagascar,Persian,Gulf,Australia,and,in,India,Bay,of,Bengal,South,Arabian,Sea,and,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 19,Species,Name,Glycera,lapidum,Quaterefages,1866,Type,Locality,Berwick,Bay,England,Body,rings,anterior,regions,are,bi,annulated,mid,body,segments,are,more,or,less,tri,annulated,Prostomium,Elongated,conical,which,is,longer,than,width,with,10,12,indistinct,rings,Proboscidal,papillae,two,types,of,papillae,1,Most,papillae,are,digitiform,shapes,of,various,2,the,rest,of,the,papillae,are,conical,shape,that,resemble,oval,shapes,without,any,ridge,lengths,with,undulating,ridges,Aileron,pointed,triangular,base,with,a,slight,dent,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,The,notopodial,prechaetal,lobe,remains,shorter,than,the,prechaetal,lobe,of,the,neuropodia,throughout,the,body,In,the,last,segments,the,prechaetal,lobe,of,noto,and,neuropodia,is,seen,in,the,digitiform,shape,Postchaetal,lobe,short,and,rounded,throughout,the,body,Dorsal,cirrus,conical,to,oval,shape,present,from,3rd,segments,onwards,inserted,far,away,from,the,parapodia,basis,Ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,and,digitiform,shape,in,the,posterior,end,Branchia,absent,Position,of,Branchia,absent,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Mostly,in,temperate,waters,tropics,of,Indo,Pacific,In,India,Andaman,and,Nicobar,Island,and,Indian,Ocean,region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 20,Species,Name,Glycera,longipinnis,Grube,1878,Type,Locality,Philippines,EEZ,Body,rings,mid,body,segments,are,bi,annulated,Prostomium,conical,with,12,rings,Proboscidal,papillae,Two,types,of,papillae,1,long,cylindrical,papillae,without,rings,2,few,stout,forms,Aileron,with,two,long,slender,rami,one,twice,the,length,of,the,other,and,narrowly,united,at,the,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,Prechaetal,lobes,elongate,pointed,and,subequal,Postchaetal,lobe,postchaetal,lobes,single,low,rounded,or,faintly,bilobed,structure,Dorsal,cirrus,ovoid,Ventral,cirrus,triangular,much,shorter,than,the,prechaetal,lobes,Branchia,Present,filament,situated,on,the,dorsal,edge,of,the,parapodia,longer,than,the,prechaetal,lobes,Position,of,Branchia,present,from,the,20th,chaetiger,onwards,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Red,Sea,Sumatra,and,in,India,Arabian,Sea,Bay,of,Bengal,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 21,Species,Name,Glycera,natalensis,Day,1957,Type,Locality,KwaZulu,Natal,Body,rings,Anterior,segments,biannulate,mid,body,segments,more,or,less,distinctly,triannulate,and,median,region,dorsally,with,up,to,4,tubercles,on,each,side,Prostomium,conical,with,16,21,rings,Proboscidal,papillae,three,types,of,papillae,1,numerous,papillae,with,terminal,fingernail,structure,with,long,stalks,with,numerous,V,shaped,ridges,and,some,longitudinal,ridges,on,nail,2,less,numerous,digitiform,papillae,with,indistinctly,straight,median,longitudinal,ridge,and,3,isolated,broader,oval,to,globular,papillae,without,ridges,Aileron,with,triangular,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,Two,slender,triangular,to,digitiform,prechaetal,lobes,same,length,both,lobes,slightly,slimmer,posterior,parapodia,last,parapodia,notopodial,lobe,shorter,than,neuropodial,Postchaetal,lobe,Two,shorter,postchaetal,lobes,anteriorly,both,lobes,rounded,following,parapodia,notopodial,lobe,elongated,and,slender,triangular,Dorsal,cirrus,from,3rd,parapodium,conical,to,oval,Ventral,cirrus,slender,triangular,to,digitiform,about,as,long,as,neuropodial,postchaetal,lobe,Branchia,non,retractile,simple,digitiform,branchia,present,Position,of,Branchia,starting,from,about,32nd,to,54th,parapodium,to,near,posterior,end,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,South,Africa,Sri,Lanka,and,in,India,Kerala,and,Andaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 22,Species,Name,Glycera,nicobarica,Grube,1866,Type,Locality,Nicobar,Islands,Body,rings,mid,body,segments,are,bi,annulated,Prostomium,Elongated,conical,prostomium,longer,than,width,with,10,11,rings,Proboscidal,papillae,two,types,1,most,abundant,papillae,are,conical,shape,with,three,transverse,ridges,2,rest,are,oval,shape,papillae,without,ridges,Aileron,Aileron,with,a,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,triangular,form,with,abroad,base,in,the,anterior,and,mid,body,region,to,digitiform,in,the,posterior,segment,Postchaetal,lobe,postchaetal,lobes,are,short,notopodial,lobes,are,triangular,and,neuropodial,lobes,are,rounded,Dorsal,cirrus,starts,from,2nd,segment,conical,to,oval,shape,placed,close,to,the,parapodial,base,Ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,but,in,the,posterior,end,it,transforms,to,digitiform,shape,Branchia,Retractile,digitiform,branchia,is,present,Position,of,Branchia,from,19,26th,segments,to,the,posterior,end,distinctly,visible,in,the,mid,body,segments,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 23,Species,Name,Glycera,oxycephala,Ehlers,1887,Type,Locality,Barbados,Body,rings,The,anterior,regions,are,bi,annulated,mid,body,segments,are,more,or,less,tri,annulated,Prostomium,Elongated,conical,prostomium,which,is,longer,than,width,consists,of,20,25,indistinct,rings,Proboscidal,papillae,two,types,of,papillae,1,Most,abundant,papillae,conical,shape,with,transverse,ridges,11,18,2,rest,of,the,papillae,are,oval,shaped,papillae,with,transverse,ridges,5,9,Aileron,slightly,arched,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,The,notopodial,and,neuropodial,prechaetal,lobes,are,of,similar,length,The,lobes,transform,from,broad,base,to,digitiform,from,anterior,to,the,posterior,segments,Postchaetal,lobe,short,and,rounded,throughout,the,body,Dorsal,cirrus,conical,to,oval,shape,present,from,3rd,segments,onwards,inserted,near,to,the,parapodia,basis,Ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,but,in,the,posterior,end,it,transforms,to,digitiform,shape,Branchia,absent,Position,of,Branchia,absent,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Atlantic,North,Sea,Red,Sea,Australia,Madagascar,East,Pacific,and,in,India,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 24,Species,Name,Glycera,papillosa,Grube,1857,Type,Locality,Chilean,part,of,the,South,Pacific,Ocean,Body,rings,mid,body,segments,are,bi,annulated,Prostomium,conical,with,8,rings,Proboscidal,papillae,Two,types,of,papillae,1,a,few,ovoid,forms,and,2,numerous,long,slender,forms,without,rings,Aileron,deeply,forked,and,slender,the,shorter,limb,being,half,the,length,of,the,longer,one,and,united,to,it,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,The,superior,prechaetal,lobe,is,small,the,inferior,one,large,and,pointed,Postchaetal,lobe,Single,rounded,postchaetal,lobe,present,Dorsal,cirrus,small,arises,from,the,body,wall,above,the,parapodium,Ventral,cirrus,Ventral,cirrus,has,a,length,of,postchaetal,lobe,Branchia,absent,Position,of,Branchia,absent,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Western,Atlantic,North,Carolina,to,the,Gulf,of,Mexico,Chile,Western,Africa,in,India,South,Arabian,Sea,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 25,Species,Name,Glycera,posterobranchia,Hoagland,1920,Type,Locality,Philippines,EEZ,Body,rings,mid,body,segments,are,bi,annulated,Prostomium,Elongated,conical,prostomium,which,is,longer,than,width,consisting,of,10,11,rings,Proboscidal,papillae,Three,types,of,papillae,1,most,abundant,papillae,are,papillae,with,terminal,fingernail,structure,with,medium,stalk,with,longitudinal,ridges,on,the,stalk,2,rest,of,the,papillae,are,short,conical,shaped,papillae,with,longitudinal,ridges,3,oval,shaped,papillae,without,any,ridges,Aileron,pointed,triangular,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,two,prechaetal,lobes,observed,to,be,with,a,triangular,form,with,abroad,base,in,the,anterior,and,mid,body,region,to,digitiform,in,the,posterior,segments,Postchaetal,lobe,short,notopodial,lobes,are,triangular,in,shape,whereas,neuropodial,lobes,are,rounded,Dorsal,cirrus,starts,from,3rd,segment,conical,to,oval,shape,placed,close,to,parapodial,base,Ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,but,in,the,posterior,end,it,transforms,to,digitiform,shape,Branchia,Non,retractile,branchia,present,Position,of,Branchia,present,between,16,24thsegment,medio,dorsally,on,the,parapodia,to,the,posterior,end,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Philippine,Island,South,China,Sea,Vietnam,and,in,India,Indian,Ocean,Bay,of,Bengal,and,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 26,Species,Name,Glycera,subaenea,Grube,1878,Type,Locality,Philippines,EEZ,Body,rings,anterior,segments,are,bi,annulated,mid,body,segments,are,more,or,less,tri,annulated,Prostomium,conical,with,8,10,rings,Proboscidal,papillae,Two,types,of,papillae,1,numerous,bluntly,conical,papillae,with,1,2,rings,2,subspherical,papillae,without,rings,Aileron,one,well,developed,prong,and,the,other,prong,short,and,completely,united,to,the,first,by,an,oblique,shelf,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,2,long,equally,pointed,prechaetal,lobes,Postchaetal,lobe,The,superior,postchaetal,lobe,is,pointed,the,inferior,one,is,shorter,and,blunt,Dorsal,cirrus,NA,Ventral,cirrus,NA,Branchia,Present,Position,of,Branchia,from,chaetiger,12,situated,on,the,anterior,end,of,parapodium,with,2,to,5,branched,digitiform,lobes,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Philippines,Australia,South,China,Sea,Madagascar,Red,Sea,South,Africa,and,in,India,South,Arabian,Sea,and,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 27,Species,Name,Glycera,sphyrabrancha,Schmarda,1861,Type,Locality,Jamaican,EEZ,Body,rings,Segments,biannulate,with,the,same,size,of,annuli,from,chaetiger,10,anterior,ones,uni,annulate,Prostomium,conical,with,10,12,rings,Proboscidal,papillae,two,types,of,papillae,1,numerous,digitiform,papillae,without,ridges,2,some,isolated,oval,to,globular,papillae,without,ridges,Aileron,with,deeply,incised,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,Two,slender,triangular,to,digitiform,prechaetal,lobes,on,anterior,parapodia,noto,and,neuropodial,prechaetal,lobes,subequal,middle,and,posterior,parapodia,with,neuropodial,prechaetal,lobes,slightly,longer,than,notopodial,ones,Postchaetal,lobe,Rounded,postchaetal,lobe,Dorsal,cirrus,digitiform,with,a,slightly,swollen,dorso,basally,longer,on,anterior,and,parapodia,diminishing,in,size,from,middle,to,posterior,parapodia,ventral,cirrus,triangular,on,anterior,parapodia,digitiform,on,middle,body,region,and,slender,on,posterior,parapodia,Branchia,non,retractile,simple,slightly,triangular,anteriorly,becoming,digitiform,from,middle,of,the,anterior,region,and,best,developed,in,the,middle,body,region,Position,of,Branchia,appears,from,chaetiger,15,near,upper,chaetal,lobe,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Arabian,Gulf,Andaman,Sea,Aruba,Belize,Caribbean,Sea,Cuba,Cura,ao,Honduras,Jamaica,Panama,Philippines,Red,Sea,South,Africa,South,China,Sea,Tobago,Trinidad,Venezuela,in,India,Andhra,Pradesh,Gujarat,Goa,Kerala,Lakshadweep,Island,Maharashtra,Odisha,West,Bengal,Tamil,Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 28,Species,Name,Glycera,tesselata,Grube,1863,Type,Locality,Mediterranean,Sea,Body,rings,anterior,segments,are,bi,annulated,mid,body,segments,are,more,or,less,tri,annulated,Prostomium,Conical,with,8,9,rings,Proboscidal,papillae,Two,types,of,papillae,1,Most,abundant,papillae,digitiform,shape,with,the,straight,longitudinal,median,ridge,2,the,rest,are,conical,shape,papillae,without,any,distinct,ridges,Aileron,deeply,incised,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,The,prechaetal,lobe,observed,to,be,a,triangular,form,with,an,abroad,base,in,the,anterior,and,mid,body,region,to,digitiform,in,the,posterior,segments,Postchaetal,lobe,short,and,rounded,throughout,the,body,segments,Dorsal,cirrus,Conical,to,oval,dorsal,cirrus,started,from,the,3rd,segment,and,placed,far,away,from,the,parapodial,basis,Ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,but,in,the,posterior,end,it,transforms,to,digitiform,shape,Branchia,absent,Position,of,Branchia,absent,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Northwestern,and,Northeastern,Atlantic,Gulf,of,Mexico,Caribbean,Sea,Mediterranean,Sea,Red,Sea,South,coasts,of,Africa,Indo,Pacific,Northwestern,Pacific,and,in,India,Bay,of,Bangla,Arabian,Sea,North,Indian,Ocean,and,Andaman,and,Nicobar,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 29,Species,Name,Glycera,tridactyla,Schmarda,1861,Type,Locality,Atlantic,Ocean,Body,rings,mid,body,segments,are,bi,annulated,Prostomium,Conical,with,11,14,rings,Proboscidal,papillae,Three,types,of,papillae,1,the,most,abundant,papillae,terminal,fingernail,structure,with,short,length,stalk,and,longitudinal,ridges,on,the,nail,2,the,rest,of,the,papillae,are,digitiform,shape,with,longitudinal,ridges,3,oval,shape,without,any,ridges,Aileron,pointed,triangular,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,The,two,prechaetal,lobes,observed,to,be,with,a,triangular,form,with,abroad,base,in,the,anterior,and,mid,body,region,to,digitiform,in,the,posterior,segments,Postchaetal,lobe,short,notopodial,lobes,are,triangular,in,shape,and,longer,than,the,rounded,neuropodial,lobes,Dorsal,cirrus,from,3rd,segment,conical,to,oval,shape,placed,close,to,the,parapodial,base,Ventral,cirrus,broadly,triangular,in,the,anterior,and,mid,body,regions,but,in,the,posterior,end,it,transforms,to,digitiform,shape,Branchia,Non,retractile,digitiform,branchia,present,Position,of,Branchia,between,17,22rd,segment,termino,dorsally,on,the,parapodia,to,the,posterior,end,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Mediterranean,Sea,Black,Sea,South,Africa,Red,Sea,Japan,coast,South,China,Sea,New,Guinea,Australia,Andaman,Sea,and,in,India,Arabian,Sea,Bay,of,Bengal,Andaman,coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 30,Species,Name,Glycera,unicornis,Lamarck,1818,Type,Locality,Unknown,Body,rings,Mid,body,segments,biannulate,anterior,annulus,about,as,long,as,posterior,one,or,slightly,longer,Prostomium,Conical,with,10,13,rings,Proboscidal,papillae,two,types,of,papillae,1,numerous,conical,papillae,with,3,U,shaped,ridges,2,isolated,broader,oval,to,globular,papillae,without,ridges,Aileron,with,triangular,base,Parapodia,First,two,parapodia,uniramous,following,parapodia,biramous,Prechaetal,lobe,Two,slender,triangular,to,digitiform,prechaetal,lobes,of,about,same,length,both,lobes,becoming,slightly,slimmer,in,posterior,parapodia,in,last,parapodia,notopodial,lobe,shorter,than,neuropodial,one,Postchaetal,lobe,Two,shorter,postchaetal,lobes,anteriorly,both,lobes,are,rounded,in,following,parapodia,both,lobes,elongated,and,slender,triangular,of,about,same,length,Dorsal,cirrus,from,2nd,parapodium,conical,to,oval,Ventral,cirrus,slender,triangular,to,digitiform,about,as,long,as,postchaetal,lobes,Branchia,Branchia,retractile,1,2,digitiform,branchial,rami,present,Position,of,Branchia,starting,from,about,16th,to,30th,parapodium,to,near,posterior,end,Chaetae,Simple,capillaries,in,notopodia,and,compound,spinigers,in,neuropodia,Distribution,Andaman,Sea,Black,Sea,North,Sea,Mediterranean,Sea,Madagascar,North,Sea,South,China,Sea,Java,Sea,and,in,India,Andhra,Pradesh,Gujarat,Goa,Karnataka,Kerala,Maharashtra,Odisha,West,Bengal,Tamil,Nadu,and,Andaman,coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 31,Reference,Díaz,Castañeda,V,Reish,D,2009,Polychaetes,in,environmental,studies,Annelids,as,Model,Systems,in,the,Biological,Sciences,J,Wiley,Sons,205,227,Donadi,S,Klemens,B,Alexander,K,Dorothee,L,2015,The,body,size,structure,of,macrobenthos,changes,predictably,along,gradients,of,hydrodynamic,stress,and,organic,enrichment,https,doi,org,10,1007,s00227,015,2614,z,Fauchald,K,Rouse,G,1997,Polychaete,systematics,Past,and,present,26,2,71,138,Giménez,L,Borthagaray,A,I,Rodríguez,M,Brazeiro,A,Carranza,A,2010,Rocky,intertidal,macrobenthic,communities,across,a,large,scale,estuarine,gradient,Scientia,Marina,74,1,87,100,Hutchings,P,A,T,2000,Taxonomy,of,estuarine,invertebrates,in,Australia,1999,381,394,Hutchings,P,A,T,Kupriyanova,E,2015,Polychaetes,and,allies,of,Lizard,Island,4019,July,2012,5,6,Kristensen,E,Penha,Lopes,G,Delefosse,M,Valdemarsen,T,Quintana,C,O,Banta,G,T,2012,What,is,bioturbation,the,need,for,a,precise,definition,for,fauna,in,aquatic,sciences,Marine,Ecology,Progress,Series,446,285,302,https,doi,org,10,3354,meps09506,Lakra,R,K,Thiruchitrambalam,G,Sahu,N,Equbal,J,Savurirajan,M,2018,New,records,of,Glyceridae,Annelida,Polychaeta,from,South,Andaman,Coast,Andaman,Nicobar,Islands,India,8,1,Pamungkas,J,Glasby,C,J,Read,G,B,Wilson,S,P,Costello,M,J,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk 32,Progress,and,perspectives,in,the,discovery,of,polychaete,worms,Annelida,of,the,world,Helgoland,Marine,Research,73,1,https,doi,org,10,1186,s10152,019,0524,z,Snelgrove,P,V,R,1998,The,biodiversity,of,macrofaunal,organisms,in,marine,sediments,1132,1123,1132,Warwick,R,M,Platt,H,M,Clarke,K,R,Agard,J,Gobin,J,1990,Analysis,of,macrobenthic,and,meiobenthic,community,structure,in,relation,to,pollution,and,disturbance,in,Hamilton,Harbour,Bermuda,Journal,of,Experimental,Marine,Biology,and,Ecology,138,1,2,119,142,https,doi,org,10,1016,0022,0981,90,90180,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
